m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.26,0.26,0.9200673841004647,1.274596764407965e-09,0.408,0.392,0.414,0.392
0.27,0.27,0.928273455051213,1.2920569940573896e-09,0.392,0.378,0.394,0.382
0.28,0.28,0.9366378822483967,1.3100022300859644e-09,0.402,0.392,0.414,0.406
0.29,0.29,0.945165595435516,1.328452965720978e-09,0.392,0.36,0.396,0.378
0.31,0.31,0.9627317021944346,1.366958848785354e-09,0.334,0.318,0.342,0.328
0.32,0.32,0.9717810978580785,1.3870611847969038e-09,0.396,0.37,0.386,0.374
0.33,0.33,0.9810158120708207,1.4077635905401406e-09,0.396,0.368,0.39,0.38
0.34,0.34,0.9904420024828995,1.4290933419119613e-09,0.338,0.322,0.346,0.334
0.35,0.35,1.0000661188316402,1.4510793933259914e-09,0.39,,0.372,0.392
0.36,0.36,1.0098949212885167,1.4737525088467094e-09,0.378,,0.386,0.38
0.37,0.37,1.0199355002577364,1.4971454058125307e-09,0.358,,0.356,0.356
0.38,0.38,1.0301952977659714,1.521292912357894e-09,0.35,,0.344,0.356
0.39,0.39,1.0406821305987044,1.5462321404293348e-09,0.346,,0.314,0.342
0.41,0.41,1.0623701956267642,1.598646789257448e-09,0.332,,0.34,0.322
0.42,0.42,1.0735891714831978,1.6262096649343005e-09,0.308,,0.296,0.304
0.43,0.43,1.0850707315648382,1.6547396590559546e-09,0.284,,0.286,0.296
0.44,0.44,1.0968249880002003,1.6842885815390964e-09,0.304,,0.308,0.304
0.45,0.45,1.1088626144898888,1.714912010294353e-09,0.296,,0.318,0.296
0.46,0.46,1.1211948878939972,1.7466696401146193e-09,0.304,,0.306,0.3
0.47,0.47,1.1338337337180995,1.7796256710601779e-09,0.314,,0.312,0.316
0.48,0.48,1.1467917759439052,1.8138492416574886e-09,0.332,,0.346,0.328
0.49,0.49,1.1600823917112844,1.8494149130625379e-09,0.29,,0.286,0.292
0.51,0.51,1.1877189849705343,1.9249012360446816e-09,0.27,,0.272,0.264
0.52,0.52,1.2020960547155022,1.9650033451289463e-09,0.28,,0.284,0.276
0.53,0.53,1.2168680362902786,2.0068119269402007e-09,0.298,,0.302,0.292
0.54,0.54,1.232053108014251,2.050438273178031e-09,0.28,,0.274,0.276
0.55,0.55,1.2476706701932345,2.0960035681375435e-09,0.248,,0.284,0.242
0.56,0.56,1.263741455591361,2.143640012867942e-09,0.246,,0.248,0.252
0.57,0.57,1.2802876526240972,2.1934921061904513e-09,0.264,,0.278,0.27
0.58,0.58,1.2973330430696883,2.2457181087187953e-09,0.268,,0.276,0.27
0.59,0.59,1.3149031563995686,2.300491721126571e-09,0.216,,0.228,0.212
0.61,0.61,1.3517294705264757,2.4184656555433183e-09,0.252,,0.252,0.25
0.62,0.62,1.3710471427965076,2.4821094885839328e-09,0.246,,0.248,0.234
0.63,0.63,1.3910129519938252,2.54919352881593e-09,0.248,,0.24,0.236
0.64,0.64,1.4116642623288036,2.6200044601719287e-09,0.23,,0.23,0.218
0.65,0.65,1.433041634983773,2.6948617304625565e-09,0.208,,0.21,0.19
0.66,0.66,1.4551891999869706,2.7741223695938075e-09,0.218,,0.23,0.21
0.67,0.67,1.4781550836517285,2.8581866838239225e-09,0.214,,0.22,0.208
0.68,0.68,1.501991901845917,2.9475050176934193e-09,0.234,,0.246,0.24
0.69,0.69,1.5267573316393228,3.0425858247157868e-09,0.212,,0.212,0.22
0.71,0.71,1.5793341459410297,3.252419329868601e-09,0.234,,0.228,0.23
0.72,0.72,1.6072927679793911,3.3685771630781927e-09,0.196,,0.202,0.182
0.73,0.73,1.6364764732938717,3.4933392802292386e-09,0.196,,0.202,0.208
0.74,0.74,1.6669808797775236,3.6276984833149772e-09,0.188,,0.184,0.198
0.75,0.75,1.6989129310143551,3.772806422647577e-09,0.18,,0.19,0.172
0.76,0.76,1.7323927487350848,3.930006690257893e-09,0.162,,0.164,0.162
0.77,0.77,1.7675558798202609,4.100876546356062e-09,0.186,,0.17,0.174
0.78,0.78,1.8045560431749181,4.287280025735884e-09,0.2,,0.192,0.202
0.79,0.79,1.8435685161337105,4.491436217437592e-09,0.164,,0.164,0.166
0.81,0.81,1.9284656541742753,4.9642189771678656e-09,0.17,,0.174,0.168
0.82,0.82,1.9748523462347722,5.240008920343855e-09,0.176,,0.174,0.176
0.83,0.83,2.0242707834539257,5.548244739187612e-09,0.16,,0.166,0.162
0.84,0.84,2.077095053807855,5.895010035386838e-09,0.17,,0.162,0.164
0.85,0.85,2.1337718993367014,6.288010704412628e-09,0.148,,0.138,0.156
0.86,0.86,2.194840799197073,6.7371543261563854e-09,0.14,,0.144,0.144
0.87,0.87,2.260961508546566,7.2553969666299544e-09,0.128,,0.132,0.136
0.88,0.88,2.332952643040251,7.860013380515785e-09,0.15,,0.162,0.158
0.89,0.89,2.4118470924577573,8.574560051471768e-09,0.13,,0.136,0.138
0.91,0.91,2.596083564530875,1.0480017840687717e-08,0.142,,0.148,0.14
0.92,0.92,2.7055470847626846,1.1790020070773684e-08,0.106,,0.12,0.112
0.93,0.93,2.830689166555824,1.3474308652312787e-08,0.104,,0.092,0.094
0.94,0.94,2.976379559152597,1.5720026761031554e-08,0.09,,0.094,0.096
0.95,0.95,3.150168641093778,1.886403211323787e-08,0.088,,0.09,0.094
0.96,0.96,3.3647062874381453,2.358004014154734e-08,0.102,,0.098,0.106
0.97,0.97,3.6437077499508015,3.144005352206311e-08,0.1,,0.088,0.092
0.98,0.98,4.040416234807516,4.716008028309468e-08,0.086,,0.09,0.092
0.99,0.99,4.724729435786346,9.432016056618936e-08,0.076,,0.072,0.062
